Event,Date,White,Black,Result,WhiteElo,BlackElo,ECO,SpeedChess
Magnus Carlsen Inv Prelim,2021-03-13,Radjabov,Giri,1/2-1/2,2765,2776,D38,1
Magnus Carlsen Inv Prelim,2021-03-13,So,Nepo,0-1,2770,2789,B06,1
Magnus Carlsen Inv Prelim,2021-03-13,Aronian,Mamedyarov,0-1,2781,2770,C41,1
Magnus Carlsen Inv Prelim,2021-03-13,Nakamura,Anton Guijarro,1/2-1/2,2736,2673,C83,1
Magnus Carlsen Inv Prelim,2021-03-13,Van Foreest,Carlsen,0-1,2701,2847,B27,1
Magnus Carlsen Inv Prelim,2021-03-13,MVL,Firouzja,1/2-1/2,2758,2759,A07,1
Magnus Carlsen Inv Prelim,2021-03-13,Giri,Firouzja,1/2-1/2,2776,2759,B67,1
Magnus Carlsen Inv Prelim,2021-03-13,Carlsen,MVL,1-0,2847,2758,A00,1
Magnus Carlsen Inv Prelim,2021-03-13,Anton Guijarro,Van Foreest,0-1,2673,2701,D32,1
Magnus Carlsen Inv Prelim,2021-03-13,Mamedyarov,Dubov,1/2-1/2,2770,2710,B22,1
Magnus Carlsen Inv Prelim,2021-03-13,Nepo,Aronian,0-1,2789,2781,C33,1
Magnus Carlsen Inv Prelim,2021-03-13,Karjakin,So,0-1,2757,2770,C50,1
Magnus Carlsen Inv Prelim,2021-03-13,So,Radjabov,1/2-1/2,2770,2765,C53,1
Magnus Carlsen Inv Prelim,2021-03-13,Aronian,Karjakin,1-0,2781,2757,D02,1
Magnus Carlsen Inv Prelim,2021-03-13,Dubov,Nepo,1-0,2710,2789,B09,1
Magnus Carlsen Inv Prelim,2021-03-13,Nakamura,Mamedyarov,1/2-1/2,2736,2770,C41,1
Magnus Carlsen Inv Prelim,2021-03-13,MVL,Anton Guijarro,1-0,2758,2673,A15,1
Magnus Carlsen Inv Prelim,2021-03-13,Firouzja,Carlsen,1/2-1/2,2759,2847,D05,1
Magnus Carlsen Inv Prelim,2021-03-13,Giri,Carlsen,1-0,2776,2847,B36,1
Magnus Carlsen Inv Prelim,2021-03-13,Anton Guijarro,Firouzja,1-0,2673,2759,E60,1
Magnus Carlsen Inv Prelim,2021-03-13,Mamedyarov,Van Foreest,1-0,2770,2701,C26,1
Magnus Carlsen Inv Prelim,2021-03-13,Nepo,Nakamura,1/2-1/2,2789,2736,C67,1
Magnus Carlsen Inv Prelim,2021-03-13,Karjakin,Dubov,1/2-1/2,2757,2710,B60,1
Magnus Carlsen Inv Prelim,2021-03-13,Radjabov,Aronian,1/2-1/2,2765,2781,D38,1
Magnus Carlsen Inv Prelim,2021-03-13,So,Giri,0-1,2770,2776,C53,1
Magnus Carlsen Inv Prelim,2021-03-13,Dubov,Radjabov,0-1,2710,2765,E06,1
Magnus Carlsen Inv Prelim,2021-03-13,Nakamura,Karjakin,1/2-1/2,2736,2757,C67,1
Magnus Carlsen Inv Prelim,2021-03-13,Van Foreest,Nepo,1-0,2701,2789,B06,1
Magnus Carlsen Inv Prelim,2021-03-13,MVL,Mamedyarov,1-0,2758,2770,C41,1
Magnus Carlsen Inv Prelim,2021-03-13,Carlsen,Anton Guijarro,1-0,2847,2673,C77,1
Opera Euro Rapid KO 2021,2021-02-14,So,Carlsen,1-0,2770,2862,B30,1
Opera Euro Rapid KO 2021,2021-02-14,Radjabov,MVL,1-0,2765,2784,A04,1
